frequency,s11
10000000.0 0.0,0.23751583501243886 -0.9713836667961535
10380761.523046093 0.0,0.1858058585001574 -0.9825864760656002
10761523.046092186 0.0,0.1333609921515388 -0.9910675283613876
11142284.56913828 0.0,0.08032208794321732 -0.9967689612886376
11523046.092184372 0.0,0.026835343991315545 -0.9996398673086475
11903807.615230465 0.0,-0.0269479898074545 -0.9996368369789647
12284569.138276558 0.0,-0.0808719641955078 -0.9967244982476947
12665330.661322651 0.0,-0.1347763428076223 -0.9908760454362269
13046092.184368744 0.0,-0.1884970753272872 -0.982073751096606
13426853.707414838 0.0,-0.24186683182392857 -0.9703094535576285
13807615.23046093 0.0,-0.29471559767574446 -0.9555850126945299
14188376.753507024 0.0,-0.3468713275389742 -0.9379127262869501
14569138.276553117 0.0,-0.39816065582387816 -0.9173156992842858
14949899.79959921 0.0,-0.4484096600971188 -0.8938281583900202
15330661.322645303 0.0,-0.4974446727701838 -0.867495704618516
15711422.845691396 0.0,-0.5450931353764926 -0.8383754968771574
16092184.368737489 0.0,-0.5911844887110813 -0.8065363601880864
16472945.891783582 0.0,-0.6355510911328787 -0.7720588128873735
16853707.414829675 0.0,-0.6780291564381438 -0.7350350080206937
17234468.937875766 0.0,-0.7184597019318405 -0.6955685851839467
17615230.460921858 0.0,-0.756689496678248 -0.653774430220173
17995991.98396795 0.0,-0.7925719994269642 -0.6097783414608259
18376753.50701404 0.0,-0.825968275407073 -0.563716602565606
18757515.03006013 0.0,-0.8567478810775869 -0.5157354634420028
19138276.553106222 0.0,-0.8847897060286382 -0.46599053218141173
19519038.076152314 0.0,-0.9099827615515663 -0.41464608239862755
19899799.599198405 0.0,-0.9322269059374252 -0.36187428176964104
20280561.122244496 0.0,-0.9514334973161427 -0.3078543488931233
20661322.645290587 0.0,-0.9675259657996496 -0.2527716468184646
21042084.16833668 0.0,-0.9804402978228218 -0.19681672265555628
21422845.69138277 0.0,-0.9901254268607736 -0.14018430357955455
21803607.21442886 0.0,-0.9965435261102061 -0.08307226024373444
22184368.737474952 0.0,-0.9996702002219786 -0.025680549096728345
22565130.260521043 0.0,-0.9994945747250602 0.0317898546449404
22945891.783567134 0.0,-0.9960192833503857 0.08913802159725177
23326653.306613225 0.0,-0.9892603550081795 0.14616411882128846
23707414.829659317 0.0,-0.9792470036570068 0.2026704353216774
24088176.352705408 0.0,-0.966021325692428 0.25846237194705657
24468937.8757515 0.0,-0.9496379107465197 0.31334938603891066
24849699.39879759 0.0,-0.9301633729003956 0.36714588216721594
25230460.92184368 0.0,-0.9076758102490335 0.41967204141626513
25611222.444889773 0.0,-0.8822642015060977 0.470754582909865
25991983.967935864 0.0,-0.8540277488868877 0.5202274525588234
26372745.490981955 0.0,-0.8230751768568243 0.5679324353417206
26753507.014028046 0.0,-0.7895239964839407 0.6137196887603338
27134268.537074137 0.0,-0.7534997450944347 0.6574481964131577
27515030.06012023 0.0,-0.7151352107133082 0.698986141876871
27895791.58316632 0.0,-0.674569650393691 0.7382112042523157
28276553.10621241 0.0,-0.6319480110184741 0.7750107777985055
28657314.629258502 0.0,-0.5874201605176984 0.8092821190297587
29038076.152304593 0.0,-0.5411401367076837 0.8409324254758389
29418837.675350685 0.0,-0.49326542014643665 0.8698788509958983
29799599.198396776 0.0,-0.44395623653725713 0.896048463091145
30180360.721442867 0.0,-0.39337489332030073 0.9193781480791295
30561122.24448896 0.0,-0.34168515419070444 0.9398144702783768
