element,protons,neutrons,density_g_cm3,isotope,selection_basis,melting_point_C
Hydrogen,1,0,0.00008988,H-1,natural,-259.34
Helium,2,2,0.0001785,He-4,natural,
Lithium,3,4,0.534,Li-7,natural,180.50
Beryllium,4,5,1.85,Be-9,natural,1286.85
Boron,5,6,2.37,B-11,natural,2074.85
Carbon,6,6,2.2670,C-12,natural,
Nitrogen,7,7,0.0012506,N-14,natural,-210.00
Oxygen,8,8,0.001429,O-16,natural,-218.79
Fluorine,9,10,0.001696,F-19,natural,-219.62
Neon,10,10,0.0008999,Ne-20,natural,-248.59
Sodium,11,12,0.97,Na-23,natural,97.80
Magnesium,12,12,1.74,Mg-24,natural,649.85
Aluminium,13,14,2.70,Al-27,natural,660.287
Silicon,14,14,2.3296,Si-28,natural,1413.85
Phosphorus,15,16,1.82,P-31,natural,44.15
Sulfur,16,16,2.067,S-32,natural,115.21
Chlorine,17,18,0.003214,Cl-35,natural,-101.50
Argon,18,22,0.0017837,Ar-40,natural,-189.35
Potassium,19,20,0.89,K-39,natural,63.38
Calcium,20,20,1.54,Ca-40,natural,841.85
Scandium,21,24,2.99,Sc-45,natural,1540.85
Titanium,22,26,4.5,Ti-48,natural,1667.85
Vanadium,23,28,6.0,V-51,natural,1909.85
Chromium,24,28,7.15,Cr-52,natural,1906.85
Manganese,25,30,7.3,Mn-55,natural,1245.85
Iron,26,30,7.874,Fe-56,natural,1537.85
Cobalt,27,32,8.86,Co-59,natural,1494.85
Nickel,28,30,8.912,Ni-58,natural,1454.85
Copper,29,34,8.933,Cu-63,natural,1084.62
Zinc,30,34,7.134,Zn-64,natural,419.53
Gallium,31,38,5.91,Ga-69,natural,29.76
Germanium,32,42,5.323,Ge-74,natural,938.25
Arsenic,33,42,5.776,As-75,natural,
Selenium,34,46,4.809,Se-80,natural,220.50
Bromine,35,44,3.11,Br-79,natural,-7.20
Krypton,36,48,0.003733,Kr-84,natural,-157.36
Rubidium,37,48,1.53,Rb-85,natural,39.31
Strontium,38,50,2.64,Sr-88,natural,776.85
Yttrium,39,50,4.47,Y-89,natural,1521.85
Zirconium,40,50,6.52,Zr-90,natural,1854.85
Niobium,41,52,8.57,Nb-93,natural,2476.85
Molybdenum,42,56,10.2,Mo-98,natural,2622.85
Technetium,43,54,11,Tc-97,longest_lived,2156.85
Ruthenium,44,58,12.1,Ru-102,natural,2333.85
Rhodium,45,58,12.4,Rh-103,natural,1963.85
Palladium,46,60,12.0,Pd-106,natural,1554.90
Silver,47,60,10.501,Ag-107,natural,961.78
Cadmium,48,66,8.69,Cd-114,natural,321.07
Indium,49,66,7.31,In-115,natural,156.60
Tin,50,70,7.287,Sn-120,natural,231.93
Antimony,51,70,6.685,Sb-121,natural,630.63
Tellurium,52,78,6.232,Te-130,natural,449.51
Iodine,53,74,4.93,I-127,natural,113.70
Xenon,54,78,0.005887,Xe-132,natural,-111.79
Caesium,55,78,1.93,Cs-133,natural,28.44
Barium,56,82,3.62,Ba-138,natural,726.85
Lanthanum,57,82,6.15,La-139,natural,917.85
Cerium,58,82,6.770,Ce-140,natural,797.85
Praseodymium,59,82,6.77,Pr-141,natural,930.85
Neodymium,60,82,7.01,Nd-142,natural,1020.85
Promethium,61,84,7.26,Pm-145,longest_lived,1041.85
Samarium,62,90,7.52,Sm-152,natural,1073.85
Europium,63,90,5.24,Eu-153,natural,821.85
Gadolinium,64,94,7.90,Gd-158,natural,1312.85
Terbium,65,94,8.23,Tb-159,natural,1355.85
Dysprosium,66,98,8.55,Dy-164,natural,1411.85
Holmium,67,98,8.80,Ho-165,natural,1473.85
Erbium,68,98,9.07,Er-166,natural,1528.85
Thulium,69,100,9.32,Tm-169,natural,1544.85
Ytterbium,70,104,6.90,Yb-174,natural,818.85
Lutetium,71,104,9.84,Lu-175,natural,1662.85
Hafnium,72,108,13.3,Hf-180,natural,2232.85
Tantalum,73,108,16.4,Ta-181,natural,3016.85
Tungsten,74,110,19.3,W-184,natural,3421.85
Rhenium,75,112,20.8,Re-187,natural,3185.85
Osmium,76,116,22.57,Os-192,natural,3032.85
Iridium,77,116,22.42,Ir-193,natural,2445.85
Platinum,78,117,21.46,Pt-195,natural,1768.40
Gold,79,118,19.282,Au-197,natural,1064.18
Mercury,80,122,13.5336,Hg-202,natural,-38.83
Thallium,81,124,11.8,Tl-205,natural,303.85
Lead,82,126,11.342,Pb-208,natural,327.46
Bismuth,83,126,9.807,Bi-209,natural,271.40
Polonium,84,125,9.32,Po-209,longest_lived,253.85
Astatine,85,125,7,At-210,longest_lived,301.85
Radon,86,136,0.00973,Rn-222,longest_lived,-71.15
Francium,87,136,,Fr-223,longest_lived,26.85
Radium,88,138,5,Ra-226,longest_lived,699.85
Actinium,89,138,10.07,Ac-227,longest_lived,1050.85
Thorium,90,142,11.72,Th-232,natural,1749.85
Protactinium,91,140,15.37,Pa-231,natural,1571.85
Uranium,92,146,18.95,U-238,natural,1134.85
